month,position,artist,song,score,us,uk,de,fr,ca,au
"Apr 2004","21","Jessica Simpson","With You","1691.832","15","-","-","-","-","5"
"Apr 2004","22","Sheryl Crow","The First Cut Is The Deepest","1661.263","14","-","-","-","-","-"
"Apr 2004","23","Kanye West & Syleena Johnson","All Fall Down","1648.663","11","-","-","-","-","-"
"Apr 2004","24","No Doubt","It's My Life","1635.022","31","39","-","49","-","-"
"Apr 2004","25","Petey Pablo","Freek-A-Leek","1627.833","13","-","-","-","-","-"
"Apr 2004","26","Ruben Studdard","Sorry 2004","1522.936","13","-","-","-","-","-"
"Apr 2004","27","Three Doors Down","Here Without You","1492.523","27","-","-","-","-","18"
"Apr 2004","28","Linkin Park","Numb","1491.042","19","-","-","-","-","-"
"Apr 2004","29","Nickelback","Someday","1489.504","22","-","-","-","-","-"
"Apr 2004","30","Twista","Overnight Celebrity","1465.270","15","-","-","-","-","-"
"Apr 2004","31","blink-182","I Miss You","1459.999","50","24","-","-","-","13"
"Apr 2004","32","Kanye West","Through The Wire","1414.549","26","9","-","-","-","-"
"Apr 2004","33","Hilary Duff","Come Clean","1398.899","35","18","-","-","-","39"
"Apr 2004","34","Clay Aiken","Solitaire","1398.475","4","-","-","-","-","-"
"Apr 2004","35","Hoobastank","The Reason","1382.094","19","-","-","-","-","-"
"Apr 2004","36","Lil' Flip","Game Over (Flip)","1380.384","21","-","-","-","-","-"
"Apr 2004","37","Beenie Man & Ms Thing","Dude","1370.260","52","18","-","-","-","-"
"Apr 2004","38","The Black Eyed Peas","Hey Mama","1363.796","53","16","-","-","-","4"
"Apr 2004","39","Dido","White Flag","1347.527","25","-","-","-","-","-"
"Apr 2004","40","Jet","Are You Gonna Be My Girl?","1338.306","29","-","-","-","-","-"
"Apr 2004","41","Kenny Chesney & Uncle Kracker","When The Sun Goes Down","1330.772","27","-","-","-","-","-"
"Apr 2004","42","Ying Yang Twins","Salt Shaker","1325.954","17","-","-","-","-","-"
"Apr 2004","43","Five for Fighting","One Hundred Years","1266.700","34","-","-","-","-","-"
"Apr 2004","44","Beyonce","Me, Myself & I","1265.202","18","-","-","-","-","-"
"Apr 2004","45","T.I.","Rubber Band Man","1251.027","30","-","-","-","-","-"
"Apr 2004","46","Anastacia","Left Outside Alone","1227.000","-","3","-","-","-","4"
"Apr 2004","47","Keith Urban","You'll Think Of Me","1225.460","32","-","-","-","-","-"
"Apr 2004","48","Rascal Flatts","Mayberry","1152.227","36","-","-","-","-","-"
"Apr 2004","49","Buddy Jewell","Sweet Southern Comfort","1147.309","40","-","-","-","-","-"
"Apr 2004","50","John Michael Montgomery","Letters From Home","1102.640","39","-","-","-","-","-"
"May 2004","1","Usher, Lil' Jon & Ludacris","Yeah!","4510.026","1","6","-","2","-","2"
"May 2004","2","Mario Winans, Enya & P Diddy","I Don't Wanna Know","3484.072","2","71","-","4","-","-"
"May 2004","3","Beyonce","Naughty Girl","3409.514","4","21","-","18","-","9"
"May 2004","4","D12 & Eminem","My Band","3216.510","6","2","-","-","-","1"
"May 2004","5","Maroon 5","This Love","3210.732","5","3","-","-","-","8"
"May 2004","6","Usher","Burn","2995.861","1","-","-","-","-","-"
"May 2004","7","Britney Spears","Toxic","2466.419","17","18","-","10","-","9"
"May 2004","8","Alicia Keys","If I Ain't Got You","2354.884","7","54","-","-","-","-"
"May 2004","9","Evanescence","My Immortal","2316.235","14","-","-","20","-","13"
"May 2004","10","J-Kwon","Tipsy","2283.711","4","-","-","-","-","-"
"May 2004","11","Twista","Overnight Celebrity","2166.738","6","-","-","-","-","-"
"May 2004","12","Kanye West & Syleena Johnson","All Fall Down","2120.003","7","-","-","-","-","-"
"May 2004","13","OutKast","The Way You Move","2094.803","17","28","-","-","-","12"
"May 2004","14","Hoobastank","The Reason","2061.655","5","-","-","-","-","10"
"May 2004","15","Petey Pablo","Freek-A-Leek","1989.471","10","-","-","-","-","-"
"May 2004","16","Chingy & J Weav","One Call Away","1966.718","13","26","-","51","-","5"
"May 2004","17","Jay-Z","Dirt Off Your Shoulder","1949.523","10","-","-","-","-","-"
"May 2004","18","Sean Paul & Sasha","I'm Still In Love With You","1926.252","16","-","-","41","-","50"
"May 2004","19","Avril Lavigne","Don't Tell Me","1902.308","32","5","-","89","-","10"
"May 2004","20","The Black Eyed Peas","Hey Mama","1894.176","23","40","-","18","-","7"
"May 2004","21","Lil' Flip","Game Over (Flip)","1797.402","15","-","-","-","-","-"
"May 2004","22","Cassidy & R Kelly","Hotel","1766.636","19","3","-","-","-","-"
"May 2004","23","Jessica Simpson","With You","1602.515","23","-","-","-","-","4"
"May 2004","24","Usher","Confessions Part II","1591.196","11","-","-","-","-","-"
"May 2004","25","Jessica Simpson","Take My Breath Away","1585.982","20","-","-","-","-","-"
"May 2004","26","Christina Milian & Samy Deluxe","Dip It Low","1542.931","61","2","-","-","-","31"
"May 2004","27","Sheryl Crow","The First Cut Is The Deepest","1540.915","22","-","-","-","-","-"
"May 2004","28","Eamon","F**k it (I Don't Want You Back)","1513.078","-","1","-","4","-","1"
"May 2004","29","Three Doors Down","Here Without You","1497.115","26","-","-","-","-","35"
"May 2004","30","Nickelback","Someday","1488.763","24","-","-","-","-","-"
"May 2004","31","OutKast","Hey Ya!","1454.812","34","78","-","50","-","-"
"May 2004","32","Keith Urban","You'll Think Of Me","1447.738","24","-","-","-","-","-"
"May 2004","33","Rascal Flatts","Mayberry","1447.188","21","-","-","-","-","-"
"May 2004","34","R Kelly","Happy People","1432.094","20","-","-","-","-","-"
"May 2004","35","OutKast","Roses","1428.275","15","-","-","-","-","-"
"May 2004","36","Kenny Chesney & Uncle Kracker","When The Sun Goes Down","1423.634","26","-","-","-","-","-"
"May 2004","37","Gretchen Wilson","Redneck Woman","1383.903","22","-","-","-","-","-"
"May 2004","38","Five for Fighting","One Hundred Years","1383.638","28","-","-","-","-","32"
"May 2004","39","John Michael Montgomery","Letters From Home","1372.585","24","-","-","-","-","-"
"May 2004","40","Beenie Man & Ms Thing","Dude","1365.986","38","58","-","-","-","-"
"May 2004","41","Dido","White Flag","1364.905","30","-","-","-","-","-"
"May 2004","42","blink-182","I Miss You","1345.333","42","55","-","-","-","25"
"May 2004","43","Joe Thomas & G-Unit","Ride Wit U / More & More","1342.507","56","14","-","-","-","-"
"May 2004","44","Linkin Park","Numb","1312.880","29","-","-","-","-","-"
"May 2004","45","G-Unit","Wanna Get To Know You","1308.622","27","57","-","-","-","30"
"May 2004","46","Ludacris","Splash Waterfalls","1301.039","21","-","-","-","-","-"
"May 2004","47","Anastacia","Left Outside Alone","1239.759","-","4","-","9","-","1"
"May 2004","48","Jet","Are You Gonna Be My Girl?","1228.042","33","16","-","-","-","-"
"May 2004","49","Avant","Don't Take Your Love Away","1205.465","37","-","-","-","-","-"
"May 2004","50","Nina Sky & Jabba","Move Ya Body","1189.776","19","-","-","-","-","-"
"Jun 2004","1","Mario Winans, Enya & P Diddy","I Don't Wanna Know","4203.980","2","1","-","10","-","2"
"Jun 2004","2","Usher","Burn","3406.709","1","98","-","-","-","3"
"Jun 2004","3","Usher, Lil' Jon & Ludacris","Yeah!","3187.348","3","27","-","12","-","-"
"Jun 2004","4","Hoobastank","The Reason","3119.197","2","12","-","-","-","7"
"Jun 2004","5","Beyonce","Naughty Girl","2961.312","3","69","-","31","-","9"
"Jun 2004","6","Maroon 5","This Love","2856.159","7","11","-","-","-","21"
"Jun 2004","7","D12 & Eminem","My Band","2399.652","12","18","-","23","-","3"
"Jun 2004","8","Twista","Overnight Celebrity","2338.928","6","16","-","-","-","-"
"Jun 2004","9","Usher","Confessions Part II","2283.515","2","-","-","-","-","-"
"Jun 2004","10","OutKast","Roses","2235.390","9","4","-","-","-","2"
"Jun 2004","11","Kanye West & Syleena Johnson","All Fall Down","2221.211","9","10","-","-","-","-"
"Jun 2004","12","Alicia Keys","If I Ain't Got You","2198.668","5","-","-","-","-","-"
"Jun 2004","13","Avril Lavigne","Don't Tell Me","2134.287","22","20","-","54","-","12"
"Jun 2004","14","Petey Pablo","Freek-A-Leek","1982.249","9","-","-","-","-","-"
"Jun 2004","15","Christina Milian & Samy Deluxe","Dip It Low","1923.341","26","7","-","31","-","47"
"Jun 2004","16","J-Kwon","Tipsy","1916.286","13","84","-","-","-","5"
"Jun 2004","17","Britney Spears","Everytime","1902.386","17","1","-","-","-","-"
"Jun 2004","18","Evanescence","My Immortal","1895.618","16","-","-","38","-","28"
"Jun 2004","19","The Black Eyed Peas","Hey Mama","1855.814","23","-","-","27","-","19"
"Jun 2004","20","Nina Sky & Jabba","Move Ya Body","1760.582","13","-","-","-","-","-"
"Jun 2004","21","Juvenile & Soulja Slim","Slow Motion","1732.811","12","-","-","-","-","-"
"Jun 2004","22","Jay-Z","Dirt Off Your Shoulder","1666.999","14","-","-","-","-","-"
"Jun 2004","23","Lloyd Banks","On Fire","1618.246","14","-","-","-","-","-"
"Jun 2004","24","Kanye West","Jesus Walks","1528.679","16","-","-","-","-","-"
"Jun 2004","25","R Kelly","Happy People","1519.371","19","-","-","-","-","-"
"Jun 2004","26","Lil' Flip","Game Over (Flip)","1516.701","17","-","-","-","-","-"
"Jun 2004","27","Switchfoot","Meant To Live","1490.761","19","-","-","-","-","-"
"Jun 2004","28","Jay-Z","99 Problems","1476.821","30","22","-","-","-","-"
"Jun 2004","29","Gretchen Wilson","Redneck Woman","1453.411","22","-","-","-","-","-"
"Jun 2004","30","Three Doors Down","Here Without You","1448.939","26","77","-","-","-","-"
"Jun 2004","31","Beastie Boys","Ch-Check It Out","1422.941","69","8","-","82","-","47"
"Jun 2004","32","Brandy & Kanye West","Talk About Our Love","1378.674","36","6","-","-","-","30"
"Jun 2004","33","John Michael Montgomery","Letters From Home","1352.241","24","-","-","-","-","-"
"Jun 2004","34","JoJo","Leave (Get Out)","1335.574","21","-","-","-","-","-"
"Jun 2004","35","Kevin Lyttle","Turn Me On","1325.697","20","-","-","57","-","-"
"Jun 2004","36","Beenie Man & Ms Thing","Dude","1320.029","26","-","-","-","-","-"
"Jun 2004","37","Five for Fighting","One Hundred Years","1299.160","31","-","-","-","-","40"
"Jun 2004","38","Sean Paul & Sasha","I'm Still In Love With You","1280.708","18","-","-","65","-","-"
"Jun 2004","39","Los Lonely Boys","Heaven","1266.310","25","-","-","-","-","-"
"Jun 2004","40","Eamon","F**k it (I Don't Want You Back)","1253.655","-","3","-","5","-","-"
"Jun 2004","41","Nickelback","Someday","1251.786","27","-","-","-","-","-"
"Jun 2004","42","Toby Keith","Whiskey Girl","1251.785","32","-","-","-","-","-"
"Jun 2004","43","Jessica Simpson","Take My Breath Away","1248.153","21","-","-","18","-","-"
"Jun 2004","44","Anastacia","Left Outside Alone","1222.557","-","8","-","9","-","2"
"Jun 2004","45","Montgomery Gentry","If You Ever Stop Loving Me","1202.333","36","-","-","-","-","-"
"Jun 2004","46","O-Zone","Dragostea din tei","1201.182","-","3","-","1","-","-"
"Jun 2004","47","Pitbull & Lil' Jon","Culo","1196.944","32","-","-","-","-","-"
"Jun 2004","48","Sheryl Crow","The First Cut Is The Deepest","1184.866","30","-","-","-","-","-"
"Jun 2004","49","Kelis","Trick Me","1184.624","-","2","-","20","-","5"
"Jun 2004","50","Lonestar","Let's Be Us Again","1168.878","38","-","-","-","-","-"
"Jul 2004","1","Usher","Burn","4334.822","1","1","-","29","-","2"
"Jul 2004","2","Mario Winans, Enya & P Diddy","I Don't Wanna Know","3218.352","4","3","-","25","-","2"
"Jul 2004","3","Usher","Confessions Part II","3078.580","1","-","-","-","-","-"
"Jul 2004","4","Hoobastank","The Reason","3064.130","3","35","-","-","-","9"
"Jul 2004","5","Britney Spears","Everytime","2810.505","15","2","-","87","-","1"
"Jul 2004","6","Juvenile & Soulja Slim","Slow Motion","2630.626","2","-","-","-","-","-"
"Jul 2004","7","Maroon 5","This Love","2583.561","8","25","-","-","-","-"
"Jul 2004","8","Alicia Keys","If I Ain't Got You","2547.717","4","-","-","-","-","-"
"Jul 2004","9","Usher, Lil' Jon & Ludacris","Yeah!","2428.810","7","-","-","29","-","-"
"Jul 2004","10","OutKast","Roses","2317.924","11","4","-","-","-","5"
"Jul 2004","11","Christina Milian & Samy Deluxe","Dip It Low","2306.625","10","30","-","37","-","-"
"Jul 2004","12","Nina Sky & Jabba","Move Ya Body","2268.045","6","-","-","-","-","42"
"Jul 2004","13","Twista","Overnight Celebrity","2236.631","6","16","-","-","-","-"
"Jul 2004","14","Petey Pablo","Freek-A-Leek","2167.787","7","-","-","-","-","-"
"Jul 2004","15","J-Kwon","Tipsy","2097.830","18","4","-","-","-","7"
"Jul 2004","16","Lloyd Banks","On Fire","2052.394","8","-","-","-","-","-"
"Jul 2004","17","Beyonce","Naughty Girl","2044.894","7","-","-","48","-","18"
"Jul 2004","18","Kevin Lyttle","Turn Me On","1933.349","8","-","-","-","-","-"
"Jul 2004","19","Avril Lavigne","Don't Tell Me","1826.283","22","64","-","53","-","45"
"Jul 2004","20","Terror Squad","Lean Back","1811.463","4","-","-","-","-","-"
"Jul 2004","21","Kanye West","Jesus Walks","1808.735","11","-","-","-","-","-"
"Jul 2004","22","JoJo","Leave (Get Out)","1778.270","12","-","-","-","-","-"
"Jul 2004","23","Fantasia","I Believe","1741.857","1","-","-","-","-","-"
"Jul 2004","24","Switchfoot","Meant To Live","1681.814","18","-","-","-","-","-"
"Jul 2004","25","Kanye West & Syleena Johnson","All Fall Down","1605.660","15","21","-","-","-","-"
"Jul 2004","26","Los Lonely Boys","Heaven","1590.053","20","-","-","-","-","-"
"Jul 2004","27","Monica","U Should've Known Better","1541.335","19","-","-","-","-","-"
"Jul 2004","28","Houston, Chingy, Nate Dogg & I-20","I Like That","1530.608","15","-","-","31","-","-"
"Jul 2004","29","Brandy & Kanye West","Talk About Our Love","1502.864","39","13","-","-","-","28"
"Jul 2004","30","The Black Eyed Peas","Hey Mama","1495.020","29","-","-","43","-","34"
"Jul 2004","31","O-Zone","Dragostea din tei","1447.884","-","5","-","1","-","-"
"Jul 2004","32","Evanescence","My Immortal","1436.755","24","-","-","79","-","-"
"Jul 2004","33","Alicia Keys & Tony! Toni! Tone!","Diary","1417.554","25","-","-","-","-","-"
"Jul 2004","34","Lloyd & Ashanti","Southside","1371.385","26","-","-","-","-","-"
"Jul 2004","35","Lil' Flip","Sunshine","1362.668","14","-","-","-","-","-"
"Jul 2004","36","Tim McGraw","Live Like You Were Dying","1358.781","31","-","-","-","-","-"
"Jul 2004","37","Counting Crows","Accidentally In Love","1274.282","45","28","-","-","-","18"
"Jul 2004","38","Ying Yang Twins","Whats Happnin!","1266.230","30","-","-","-","-","-"
"Jul 2004","39","R Kelly","Happy People","1258.862","28","-","-","-","-","-"
"Jul 2004","40","Yellowcard","Ocean Avenue","1251.608","37","-","-","-","-","-"
"Jul 2004","41","Toby Keith","Whiskey Girl","1240.870","31","-","-","-","-","-"
"Jul 2004","42","Three Doors Down","Here Without You","1234.473","33","-","-","-","-","-"
"Jul 2004","43","Mis-Teeq","Scandalous","1233.508","35","-","-","-","-","-"
"Jul 2004","44","Kenny Chesney","I Go Back","1226.429","35","-","-","-","-","-"
"Jul 2004","45","D12 & Eminem","My Band","1208.837","55","61","-","28","-","15"
"Jul 2004","46","Twista & R Kelly","So Sexy","1208.262","30","-","-","-","-","-"
"Jul 2004","47","Montgomery Gentry","If You Ever Stop Loving Me","1204.587","30","-","-","-","-","-"
"Jul 2004","48","Velvet Revolver","Slither","1195.785","56","35","-","-","-","50"
"Jul 2004","49","Beenie Man & Ms Thing","Dude","1184.964","34","-","-","-","-","-"
"Jul 2004","50","Beastie Boys","Ch-Check It Out","1167.469","69","44","-","-","-","46"
"Aug 2004","1","Juvenile & Soulja Slim","Slow Motion","3160.034","1","-","-","-","-","-"
"Aug 2004","2","Terror Squad","Lean Back","3038.487","1","-","-","-","-","-"
"Aug 2004","3","Usher","Burn","3018.394","3","7","-","29","-","3"
"Aug 2004","4","Usher","Confessions Part II","2775.854","1","-","-","-","-","-"
"Aug 2004","5","Nina Sky & Jabba","Move Ya Body","2654.676","4","-","-","21","-","25"
"Aug 2004","6","Christina Milian & Samy Deluxe","Dip It Low","2546.732","5","59","-","53","-","-"
"Aug 2004","7","Kevin Lyttle","Turn Me On","2459.967","4","-","-","-","-","-"
"Aug 2004","8","Lil' Flip","Sunshine","2405.662","2","-","-","-","-","-"
"Aug 2004","9","D12","How Come","2311.273","27","4","-","-","-","4"
"Aug 2004","10","Alicia Keys","If I Ain't Got You","2298.284","5","-","-","-","-","-"
"Aug 2004","11","Mario Winans, Enya & P Diddy","I Don't Wanna Know","2285.259","24","12","-","47","-","9"
"Aug 2004","12","Hoobastank","The Reason","2207.691","7","-","-","-","-","36"
"Aug 2004","13","Houston, Chingy, Nate Dogg & I-20","I Like That","2154.361","11","-","-","29","-","-"
"Aug 2004","14","Ciara & Petey Pablo","Goodies","2085.657","3","-","-","-","-","-"
"Aug 2004","15","Lloyd Banks","On Fire","2044.797","9","19","-","-","-","44"
"Aug 2004","16","Maroon 5","This Love","2043.762","13","-","-","7","-","-"
"Aug 2004","17","Britney Spears","Everytime","2018.536","22","9","-","65","-","-"
"Aug 2004","18","JoJo","Leave (Get Out)","1975.943","12","-","-","-","-","-"
"Aug 2004","19","Kanye West","Jesus Walks","1904.366","11","-","-","-","-","-"
"Aug 2004","20","Nelly & Jaheim","My Place","1897.570","7","-","-","-","-","-"
"Aug 2004","21","Avril Lavigne","My Happy Ending","1882.809","31","5","-","-","-","6"
"Aug 2004","22","Usher, Lil' Jon & Ludacris","Yeah!","1853.655","17","-","-","72","-","-"
"Aug 2004","23","Ashlee Simpson","Pieces Of Me","1827.278","9","-","-","-","-","9"
"Aug 2004","24","Switchfoot","Meant To Live","1807.635","18","29","-","-","-","-"
"Aug 2004","25","The Black Eyed Peas","Let's Get It Started","1795.743","34","20","-","8","-","2"
"Aug 2004","26","Los Lonely Boys","Heaven","1690.313","16","-","-","-","-","-"
"Aug 2004","27","Alicia Keys & Tony! Toni! Tone!","Diary","1682.640","15","-","-","-","-","-"
"Aug 2004","28","Maroon 5","She Will Be Loved","1612.942","14","4","-","-","-","4"
"Aug 2004","29","Monica","U Should've Known Better","1534.869","19","-","-","-","-","-"
"Aug 2004","30","Petey Pablo","Freek-A-Leek","1529.450","16","-","-","-","-","-"
"Aug 2004","31","Jadakiss & Anthony Hamilton","Why?","1526.187","16","-","-","-","-","-"
"Aug 2004","32","Counting Crows","Accidentally In Love","1525.764","39","45","-","-","-","11"
"Aug 2004","33","Lloyd & Ashanti","Southside","1509.392","24","-","-","-","-","-"
"Aug 2004","34","Twista & R Kelly","So Sexy","1455.743","25","-","-","-","-","-"
"Aug 2004","35","LL Cool J","Headsprung","1454.102","27","25","-","-","-","-"
"Aug 2004","36","Tim McGraw","Live Like You Were Dying","1390.894","30","-","-","-","-","-"
"Aug 2004","37","Akon & Styles P","Locked Up","1371.332","19","-","-","-","-","-"
"Aug 2004","38","Kenny Chesney","I Go Back","1348.141","32","-","-","-","-","-"
"Aug 2004","39","Linkin Park","Breaking The Habit","1318.287","29","-","-","30","-","45"
"Aug 2004","40","J-Kwon","Tipsy","1255.752","38","6","-","-","-","12"
"Aug 2004","41","Beyonce","Naughty Girl","1250.964","28","-","-","75","-","48"
"Aug 2004","42","Ying Yang Twins","Whats Happnin!","1239.967","33","-","-","-","-","-"
"Aug 2004","43","Young Buck","Let Me In","1224.918","36","-","-","-","-","-"
"Aug 2004","44","Fantasia","I Believe","1213.528","34","-","-","-","-","4"
"Aug 2004","45","Brad Paisley & Alison Krauss","Whiskey Lullaby","1209.903","41","-","-","-","-","-"
"Aug 2004","46","Finger Eleven","One Thing","1176.299","37","-","-","-","-","-"
"Aug 2004","47","O-Zone","Dragostea din tei","1149.761","-","8","-","3","-","-"
"Aug 2004","48","Reba McEntire","Somebody","1149.363","35","-","-","-","-","-"
"Aug 2004","49","Keith Urban","Days Go By","1115.663","40","-","-","-","-","-"
"Aug 2004","50","Terri Clark","Girls Lie Too","1102.869","44","-","-","-","-","-"
"Sep 2004","1","Ciara & Petey Pablo","Goodies","3117.876","1","-","-","-","-","-"
"Sep 2004","2","Terror Squad","Lean Back","3070.129","1","-","-","-","-","-"
"Sep 2004","3","Maroon 5","She Will Be Loved","2882.449","5","4","-","-","-","1"
"Sep 2004","4","Nelly & Jaheim","My Place","2824.223","4","-","-","-","-","1"
"Sep 2004","5","JoJo","Leave (Get Out)","2804.411","17","2","-","12","-","2"
"Sep 2004","6","Lil' Flip","Sunshine","2772.408","2","-","-","-","-","-"
"Sep 2004","7","Houston, Chingy, Nate Dogg & I-20","I Like That","2480.026","11","11","-","32","-","14"
"Sep 2004","8","Ashlee Simpson","Pieces Of Me","2362.907","5","-","-","-","-","7"
"Sep 2004","9","Christina Milian & Samy Deluxe","Dip It Low","2339.120","5","-","-","72","-","-"
"Sep 2004","10","Kevin Lyttle","Turn Me On","2222.447","5","-","-","-","-","-"
"Sep 2004","11","Avril Lavigne","My Happy Ending","2211.991","13","16","-","-","-","7"
"Sep 2004","12","Nina Sky & Jabba","Move Ya Body","2201.824","9","-","-","23","-","25"
"Sep 2004","13","Juvenile & Soulja Slim","Slow Motion","2194.951","4","-","-","-","-","-"
"Sep 2004","14","The Black Eyed Peas","Let's Get It Started","2117.491","21","48","-","7","-","13"
"Sep 2004","15","Maroon 5","This Love","2014.876","20","-","-","6","-","-"
"Sep 2004","16","Alicia Keys","If I Ain't Got You","1967.312","10","-","-","17","-","-"
"Sep 2004","17","Hoobastank","The Reason","1935.195","13","-","-","-","-","-"
"Sep 2004","18","Alicia Keys & Tony! Toni! Tone!","Diary","1901.930","9","-","-","-","-","-"
"Sep 2004","19","Usher","Burn","1881.352","23","26","-","37","-","19"
"Sep 2004","20","Kanye West","Jesus Walks","1870.288","18","16","-","-","-","-"
"Sep 2004","21","Akon & Styles P","Locked Up","1834.351","10","-","-","-","-","-"
"Sep 2004","22","Jadakiss & Anthony Hamilton","Why?","1815.349","11","-","-","-","-","-"
"Sep 2004","23","LL Cool J","Headsprung","1796.725","18","36","-","-","-","-"
"Sep 2004","24","Linkin Park","Breaking The Habit","1751.035","20","-","-","27","-","-"
"Sep 2004","25","Usher","Confessions Part II","1703.292","8","-","-","-","-","-"
"Sep 2004","26","Nelly","Flap Your Wings","1627.721","52","1","-","-","-","-"
"Sep 2004","27","Los Lonely Boys","Heaven","1563.587","20","-","-","-","-","-"
"Sep 2004","28","Usher, Lil' Jon & Ludacris","Yeah!","1474.097","24","-","-","-","-","-"
"Sep 2004","29","Switchfoot","Meant To Live","1406.686","22","-","-","-","-","-"
"Sep 2004","30","Finger Eleven","One Thing","1389.234","25","-","-","-","-","-"
"Sep 2004","31","Ryan Cabrera","On The Way Down","1373.895","23","-","-","-","-","-"
"Sep 2004","32","Tim McGraw","Live Like You Were Dying","1295.889","32","-","-","-","-","-"
"Sep 2004","33","Twista & R Kelly","So Sexy","1291.940","25","-","-","-","-","-"
"Sep 2004","34","Lloyd Banks","On Fire","1288.014","30","35","-","-","-","-"
"Sep 2004","35","Counting Crows","Accidentally In Love","1282.484","41","-","-","-","-","14"
"Sep 2004","36","Monica","U Should've Known Better","1277.928","28","-","-","-","-","-"
"Sep 2004","37","Keith Urban","Days Go By","1276.409","33","-","-","-","-","-"
"Sep 2004","38","Green Day","American Idiot","1248.636","62","3","-","-","-","8"
"Sep 2004","39","Lil Scrappy","No Problem","1241.736","31","-","-","-","-","-"
"Sep 2004","40","Britney Spears","Everytime","1239.721","53","34","-","2","-","-"
"Sep 2004","41","D12","How Come","1233.819","35","21","-","-","-","10"
"Sep 2004","42","T.I.","Let's Get Away","1226.424","35","-","-","-","-","-"
"Sep 2004","43","Lloyd & Ashanti","Southside","1225.437","26","-","-","-","-","-"
"Sep 2004","44","Mase & P Diddy","Breathe, Stretch, Shake","1208.669","29","-","-","-","-","-"
"Sep 2004","45","Seether & Amy Lee","Broken","1201.006","38","-","-","-","-","3"
"Sep 2004","46","Terri Clark","Girls Lie Too","1199.009","36","-","-","-","-","-"
"Sep 2004","47","Petey Pablo","Freek-A-Leek","1183.065","36","-","-","-","-","-"
"Sep 2004","48","Sara Evans","Suds In The Bucket","1171.191","36","-","-","-","-","-"
"Sep 2004","49","Usher & Alicia Keys","My Boo","1150.110","7","-","-","-","-","-"
"Sep 2004","50","Kelly Clarkson","Breakaway","1148.008","31","-","-","-","-","14"
"Oct 2004","1","Ciara & Petey Pablo","Goodies","3417.650","1","-","-","-","-","-"
"Oct 2004","2","Terror Squad","Lean Back","3177.778","2","24","-","-","-","44"
"Oct 2004","3","Maroon 5","She Will Be Loved","3123.124","5","16","-","-","-","1"
"Oct 2004","4","Usher & Alicia Keys","My Boo","2929.258","1","-","-","-","-","-"
"Oct 2004","5","Nelly & Jaheim","My Place","2820.736","4","-","-","-","-","3"
"Oct 2004","6","Ashlee Simpson","Pieces Of Me","2675.765","6","4","-","-","-","7"
"Oct 2004","7","Lil' Flip","Sunshine","2623.944","3","14","-","36","-","-"
"Oct 2004","8","Destiny's Child","Lose My Breath","2341.704","3","-","-","20","-","-"
"Oct 2004","9","Avril Lavigne","My Happy Ending","2339.685","9","48","-","-","-","13"
"Oct 2004","10","Alicia Keys","If I Ain't Got You","2215.908","11","-","-","15","-","-"
"Oct 2004","11","JoJo","Leave (Get Out)","2199.600","27","4","-","16","-","2"
"Oct 2004","12","Akon & Styles P","Locked Up","2158.827","8","-","-","-","-","-"
"Oct 2004","13","Alicia Keys & Tony! Toni! Tone!","Diary","2073.581","8","-","-","-","-","-"
"Oct 2004","14","Houston, Chingy, Nate Dogg & I-20","I Like That","2004.624","16","23","-","57","-","12"
"Oct 2004","15","The Black Eyed Peas","Let's Get It Started","1979.394","21","-","-","7","-","21"
"Oct 2004","16","Kelly Clarkson","Breakaway","1861.579","10","-","-","-","-","10"
"Oct 2004","17","Juvenile & Soulja Slim","Slow Motion","1757.189","12","-","-","-","-","-"
"Oct 2004","18","Maroon 5","This Love","1756.350","24","-","-","14","-","-"
"Oct 2004","19","Ryan Cabrera","On The Way Down","1750.387","15","-","-","-","-","-"
"Oct 2004","20","Christina Milian & Samy Deluxe","Dip It Low","1706.422","8","-","-","94","-","-"
"Oct 2004","21","Finger Eleven","One Thing","1704.467","16","-","-","-","-","-"
"Oct 2004","22","LL Cool J","Headsprung","1681.942","16","-","-","-","-","-"
"Oct 2004","23","Jadakiss & Anthony Hamilton","Why?","1653.165","11","-","-","-","-","-"
"Oct 2004","24","Green Day","American Idiot","1650.937","61","5","-","-","-","7"
"Oct 2004","25","Linkin Park","Breaking The Habit","1642.191","20","-","-","38","-","-"
"Oct 2004","26","Hoobastank","The Reason","1625.351","17","-","-","-","-","-"
"Oct 2004","27","Los Lonely Boys","Heaven","1575.681","21","-","-","-","-","-"
"Oct 2004","28","Kevin Lyttle","Turn Me On","1538.460","15","-","-","-","-","-"
"Oct 2004","29","Eminem","Just Lose It","1531.658","6","-","-","95","-","-"
"Oct 2004","30","Nelly","Flap Your Wings","1529.094","52","3","-","-","-","-"
"Oct 2004","31","Snoop Dogg & Pharrell Williams","Drop It Like It's Hot","1505.085","7","-","-","-","-","-"
"Oct 2004","32","Trick Daddy, Lil' Jon & Twista","Let's Go","1492.811","14","-","-","-","-","-"
"Oct 2004","33","Seether & Amy Lee","Broken","1486.940","29","-","-","-","-","4"
"Oct 2004","34","Nina Sky & Jabba","Move Ya Body","1480.487","19","-","-","42","-","29"
"Oct 2004","35","NORE & Nina Sky, Daddy Yankee, Gem Star & Big Mato","Oye Mi Canto","1462.531","16","-","-","-","-","-"
"Oct 2004","36","Mase & P Diddy","Breathe, Stretch, Shake","1440.927","28","-","-","-","-","-"
