month,position,artist,song,score,us,uk,de,fr,ca,au
"Feb 2000","21","N Sync","Bye, Bye, Bye","1857.108","13","-","-","-","-","-"
"Feb 2000","22","Jagged Edge","He Can't Love U","1729.877","18","-","-","-","-","-"
"Feb 2000","23","REM","The Great Beyond","1693.925","57","3","-","-","-","26"
"Feb 2000","24","Third Eye Blind","Never Let You Go","1648.136","22","-","-","-","-","-"
"Feb 2000","25","Sonique","It Feels So Good","1635.847","17","-","-","-","-","-"
"Feb 2000","26","Jennifer Lopez","Waiting For Tonight","1620.386","24","77","-","25","-","13"
"Feb 2000","27","Jessica Simpson","I Wanna Love You Forever","1594.773","12","-","-","-","-","10"
"Feb 2000","28","Train","Meet Virginia","1593.175","21","-","-","-","-","-"
"Feb 2000","29","Enrique Iglesias","Rhythm Divine","1560.211","38","-","-","27","-","36"
"Feb 2000","30","The Dixie Chicks","Cowboy Take Me Away","1540.035","27","-","-","-","-","-"
"Feb 2000","31","The Foo Fighters","Learn To Fly","1526.012","20","-","-","-","-","-"
"Feb 2000","32","D Angelo","Untitled (How Does It Feel)","1508.925","25","-","-","-","-","-"
"Feb 2000","33","Tim McGraw","My Best Friend","1502.047","29","-","-","-","-","-"
"Feb 2000","34","Joe Thomas","I Wanna Know","1485.732","28","-","-","-","-","-"
"Feb 2000","35","Sisqo & Make It Hot","Got To Get It","1481.647","43","14","-","-","-","-"
"Feb 2000","36","Ricky Martin","Shake Your Bon-Bon","1440.369","22","-","-","-","-","-"
"Feb 2000","37","Sugar Ray","Falls Apart","1413.139","29","-","-","-","-","-"
"Feb 2000","38","Santana & The Product G","Maria Maria","1402.052","6","-","-","-","-","-"
"Feb 2000","39","Counting Crows","Hanginaround","1351.899","28","-","-","-","-","-"
"Feb 2000","40","Dr Dre, Eminem & Skylar Grey","Forgot About Dre","1345.142","30","-","-","-","-","-"
"Feb 2000","41","The Goo Goo Dolls","Black Balloon","1338.235","33","76","-","-","-","-"
"Feb 2000","42","Mark Wills","Back At One","1336.511","36","-","-","-","-","-"
"Feb 2000","43","Sisqo","Thong Song","1336.465","26","-","-","-","-","-"
"Feb 2000","44","Eve & Faith Evans","Love Is Blind","1329.085","34","-","-","-","-","-"
"Feb 2000","45","Lonestar","Smile","1321.085","39","-","-","-","-","-"
"Feb 2000","46","Reba McEntire","What Do You Say","1309.013","31","-","-","-","-","-"
"Feb 2000","47","LeAnn Rimes","Big Deal","1303.750","25","-","-","-","-","-"
"Feb 2000","48","J-Shin & LaTocha Scott","One Night Stand","1269.149","34","-","-","-","-","-"
"Feb 2000","49","Amber","Sexual (Li Da Di)","1256.914","42","-","-","-","-","-"
"Feb 2000","50","Vertical Horizon","Everything You Want","1249.595","33","-","-","-","-","-"
"Mar 2000","1","Lonestar","Amazed","3622.532","1","-","-","-","-","-"
"Mar 2000","2","N Sync","Bye, Bye, Bye","3556.536","5","3","-","-","1","1"
"Mar 2000","3","Santana & The Product G","Maria Maria","3291.260","2","-","-","-","-","-"
"Mar 2000","4","The Backstreet Boys","Show Me The Meaning Of Being Lonely","3286.751","6","3","-","-","1","19"
"Mar 2000","5","Christina Aguilera","What A Girl Wants","3113.766","4","8","-","11","-","10"
"Mar 2000","6","Faith Hill","Breathe","3092.808","3","-","-","-","-","-"
"Mar 2000","7","Savage Garden","I Knew I Loved You","3034.950","1","-","-","-","-","-"
"Mar 2000","8","Destiny's Child","Say My Name","3002.069","1","-","-","-","-","44"
"Mar 2000","9","Mariah Carey","Thank God I Found You","2919.661","2","10","-","28","-","27"
"Mar 2000","10","Madonna","American Pie","2897.235","29","1","-","8","-","1"
"Mar 2000","11","Montell Jordan","Get It On Tonite","2820.179","5","-","-","29","-","-"
"Mar 2000","12","Celine Dion","That's The Way It Is","2796.749","6","88","-","58","-","49"
"Mar 2000","13","blink-182","All The Small Things","2771.164","8","2","-","-","-","12"
"Mar 2000","14","Rob Thomas & Santana","Smooth","2542.837","9","3","-","-","-","22"
"Mar 2000","15","Missy 'Misdemeanor' Elliott, NAS & Eve","Hot Boyz","2307.084","10","-","-","78","-","-"
"Mar 2000","16","Sonique","It Feels So Good","2122.269","12","-","-","-","-","-"
"Mar 2000","17","Filter","Take A Picture","2081.269","19","25","-","-","-","32"
"Mar 2000","18","Brian McKnight","Back At One","2065.046","16","-","-","-","-","28"
"Mar 2000","19","Blaque","Bring It All To Me","2028.826","15","-","-","-","-","-"
"Mar 2000","20","Sisqo","Thong Song","1987.491","13","-","-","-","-","-"
"Mar 2000","21","Third Eye Blind","Never Let You Go","1957.901","16","-","-","-","1","-"
"Mar 2000","22","Britney Spears","From The Bottom Of My Broken Heart","1950.239","14","-","-","-","-","37"
"Mar 2000","23","Marc Anthony","I Need To Know","1937.381","20","-","-","-","-","20"
"Mar 2000","24","Pink","There You Go","1904.981","11","-","-","-","-","-"
"Mar 2000","25","Eiffel 65","Blue (Da Ba Dee)","1881.807","19","91","-","74","-","19"
"Mar 2000","26","Macy Gray","I Try","1863.822","20","69","-","29","-","3"
"Mar 2000","27","Vertical Horizon","Everything You Want","1756.949","19","-","-","-","-","-"
"Mar 2000","28","Joe Thomas","I Wanna Know","1733.860","23","-","-","-","-","-"
"Mar 2000","29","Dr Dre, Eminem & Skylar Grey","Forgot About Dre","1720.431","25","-","-","-","-","-"
"Mar 2000","30","Smash Mouth","Then The Morning Comes","1718.827","23","-","-","-","-","-"
"Mar 2000","31","D Angelo","Untitled (How Does It Feel)","1631.076","25","-","-","-","-","-"
"Mar 2000","32","Sammie","I Like It","1565.019","29","-","-","-","-","-"
"Mar 2000","33","Jagged Edge","He Can't Love U","1506.420","24","-","-","-","-","-"
"Mar 2000","34","REM","The Great Beyond","1506.053","59","24","-","-","-","25"
"Mar 2000","35","Sugar Ray","Falls Apart","1505.949","29","-","-","-","-","-"
"Mar 2000","36","Aaliyah","I Don't Wanna","1488.925","35","-","-","-","-","-"
"Mar 2000","37","Kid Rock","Only God Knows Why","1487.229","26","-","-","-","-","-"
"Mar 2000","38","Whitney Houston","I Learned From The Best","1484.069","27","82","-","-","-","-"
"Mar 2000","39","Tim McGraw","My Best Friend","1469.415","31","-","-","-","-","-"
"Mar 2000","40","Hoku","Another Dumb Blonde","1458.674","34","-","-","-","-","-"
"Mar 2000","41","Toby Keith","How Do You Like Me Now?!","1437.714","36","-","-","-","-","-"
"Mar 2000","42","Train","Meet Virginia","1437.679","32","-","-","-","-","-"
"Mar 2000","43","Red Hot Chili Peppers","Otherside","1392.808","40","-","-","-","-","31"
"Mar 2000","44","George Strait","The Best Day","1391.857","39","-","-","-","-","-"
"Mar 2000","45","Mark Wills","Back At One","1391.074","36","-","-","-","-","-"
"Mar 2000","46","Lonestar","Smile","1354.729","41","-","-","-","-","-"
"Mar 2000","47","TLC","Dear Lie","1348.113","51","87","-","40","-","-"
"Mar 2000","48","J-Shin & LaTocha Scott","One Night Stand","1345.257","34","-","-","-","-","-"
"Mar 2000","49","Marc Anthony","You Sang To Me","1336.073","30","-","-","-","-","-"
