,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,"Better Now","Post Malone",1279949,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
57,"Power is Power (feat. The Weeknd & Travis Scott)",SZA,1279689,https://open.spotify.com/track/4cbdPT6uaBOgOQe3fLMofl
58,Better,Khalid,1267149,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
59,"Pure Water (with Migos)",Mustard,1255937,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp
60,"Vossi Bop",Stormzy,1255886,https://open.spotify.com/track/44ZJ4hLD5onikKsVLQaILr
61,"Baila Baila Baila",Ozuna,1236812,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
62,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",1216812,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
63,"Te Vi","Piso 21",1206099,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
64,"SICKO MODE","Travis Scott",1195096,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
65,"all the good girls go to hell","Billie Eilish",1183227,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx
66,"Outta My Head (with John Mayer)",Khalid,1177890,https://open.spotify.com/track/09oZ9eXQ2fo6YDrPzJqAoP
67,"Bohemian Rhapsody - Remastered 2011",Queen,1171405,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
68,"my strange addiction","Billie Eilish",1159191,https://open.spotify.com/track/3Tc57t9l2O8FwQZtQOvPXK
69,"MIA (feat. Drake)","Bad Bunny",1156918,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
70,"Be Alright","Dean Lewis",1133110,https://open.spotify.com/track/2H4gf1wLxvYreMj1jcaN0k
71,"Contra La Pared","Sean Paul",1130983,https://open.spotify.com/track/3JjaofJ0lCeEsFSZqppzOp
72,"rockstar (feat. 21 Savage)","Post Malone",1126200,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
73,Desconocidos,"Mau y Ricky",1120805,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ
74,"Girls Like You (feat. Cardi B)","Maroon 5",1112972,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
75,"3 Nights","Dominic Fike",1111217,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
76,"Giant (with Rag'n'Bone Man)","Calvin Harris",1105122,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
77,"Lucid Dreams","Juice WRLD",1072757,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
78,xanny,"Billie Eilish",1060145,https://open.spotify.com/track/4QIo4oxwzzafcBWkKjDpXY
79,"Light It Up (with Tyga & Chris Brown)",Marshmello,1048682,https://open.spotify.com/track/4Q8aDd3H6LF8t4eY7So9O8
80,Robbery,"Juice WRLD",1041539,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
81,"Que Mas Pues - Remix",Sech,1039593,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD
82,"Adan y Eva","Paulo Londra",1024723,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
83,Sixteen,"Ellie Goulding",1021590,https://open.spotify.com/track/4PkIDTPGedm0enzdvilLNd
84,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",1007522,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
85,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)","benny blanco",1007147,https://open.spotify.com/track/1WSGTYKLEpKfNQYYW5Oymt
86,"Bad Liar","Imagine Dragons",996797,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
87,"Un Año","Sebastian Yatra",988135,https://open.spotify.com/track/2vrpcQNg6itmgVZWsNjWe0
88,SAD!,XXXTENTACION,987465,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
89,"Shape of You","Ed Sheeran",981556,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
90,"Look Back At It","A Boogie Wit da Hoodie",970944,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
91,Youngblood,"5 Seconds of Summer",968839,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
92,"Saturday Nights",Khalid,963763,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
93,"Baila Baila Baila - Remix",Ozuna,945852,https://open.spotify.com/track/7mWFF4gPADjTQjC97CgFVt
94,Amanece,"Anuel Aa",939189,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH
95,"Mixed Personalities (feat. Kanye West)","YNW Melly",936527,https://open.spotify.com/track/6vWEAOUSxohKxhp0K1BsxL
96,"Esclavo de Tus Besos","Manuel Turizo",928492,https://open.spotify.com/track/3g4UyIcQwutiG0TfW32GnX
97,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",921232,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
98,"Envy Me",Calboy,912294,https://open.spotify.com/track/05t7JMip6JrLuSrMV5yYjX
99,"a lot","21 Savage",905351,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
100,"i love you","Billie Eilish",889392,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc
101,"I Like Me Better",Lauv,889297,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
102,Believer,"Imagine Dragons",888766,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
103,Moonlight,XXXTENTACION,888323,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
104,"Ella Quiere Beber - Remix","Anuel Aa",881907,https://open.spotify.com/track/3f5lA8nnc4YYF1qf78WpHw
105,2002,Anne-Marie,879675,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
106,"Pop Out (feat. Lil TJay)","Polo G",870902,https://open.spotify.com/track/5AjINjwKyRvQJhSe2zpPHi
107,Perfect,"Ed Sheeran",867702,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
108,"Always Remember Us This Way","Lady Gaga",866176,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
109,"Please Me","Cardi B",865208,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN
110,"I Like It","Cardi B",861021,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
111,"Floating (feat. 21 Savage)","ScHoolboy Q",859666,https://open.spotify.com/track/4NN6N5TxBO5k9uqu0W4gfQ
112,"Faucet Failure","Ski Mask The Slump God",858951,https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN
113,Aullando,"Wisin & Yandel",855144,https://open.spotify.com/track/7BuHdm4lQqcyG3qTwdkxus
114,"Don't Stop Me Now - Remastered",Queen,841808,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
115,"Si Se Da","Myke Towers",840958,https://open.spotify.com/track/5KbBGUpIZd6gVFUU8tqYiQ
116,"Psycho (feat. Ty Dolla $ign)","Post Malone",837107,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
117,"Taste (feat. Offset)",Tyga,835014,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
118,"In My Mind",Dynoro,833989,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
119,Cool,"Jonas Brothers",820391,https://open.spotify.com/track/3QmolSZqjjLksTUvZJ6pPS
120,"What I Like About You (feat. Theresa Rex)","Jonas Blue",818358,https://open.spotify.com/track/4NSW0Km5ZG60L8FthUebPJ
121,"Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","Martin Garrix",818242,https://open.spotify.com/track/7Feaw9WAEREY0DUOSXJLOM
122,"Body (feat. brando)","Loud Luxury",811745,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
123,idontwannabeyouanymore,"Billie Eilish",803416,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu
124,"MONOPOLY (with Victoria Monét)","Ariana Grande",796606,https://open.spotify.com/track/6tsOcBnaKgzK22yEiqRh8P
125,"God's Plan",Drake,795085,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
126,"Drugs & The Internet",Lauv,793545,https://open.spotify.com/track/4SHhui9S7lFYGHXikfneGo
127,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",791857,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
128,"Promises (with Sam Smith)","Calvin Harris",790839,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
129,"Hey Look Ma, I Made It","Panic! At The Disco",790607,https://open.spotify.com/track/22oEJW6r2rMb9z4IntfyEa
130,"Say You Won't Let Go","James Arthur",790335,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
131,"Jocelyn Flores",XXXTENTACION,789877,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
132,"ocean eyes","Billie Eilish",785250,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
133,"Out Of Love","Alessia Cara",778973,https://open.spotify.com/track/4WzhjxvLP95y7AMDy0Atwb
134,"Another One Bites The Dust - Remastered 2011",Queen,778311,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
135,"Mo Bamba","Sheck Wes",766877,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
136,bellyache,"Billie Eilish",761923,https://open.spotify.com/track/51NFxnQvaosfDDutk0tams
137,"One Kiss (with Dua Lipa)","Calvin Harris",761181,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
138,Suge,DaBaby,760823,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
139,"Too Good At Goodbyes","Sam Smith",760028,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
140,"My Bad",Khalid,757934,https://open.spotify.com/track/2XKFnwB6djxrJCjR3PdeRb
141,Soltera,Lunay,756421,https://open.spotify.com/track/4T4CZ3Q4z3GG7lU720YYhM
142,"The Middle",Zedd,755761,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
143,Thunder,"Imagine Dragons",750316,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
144,"I Don't Belong In This Club","Why Don't We",750029,https://open.spotify.com/track/45ZGEdLxCZvdMX9jWlsAAx
145,ilomilo,"Billie Eilish",742130,https://open.spotify.com/track/7qEKqBCD2vE5vIBsrUitpD
146,"Lost In Japan","Shawn Mendes",741669,https://open.spotify.com/track/79esEXlqqmq0GPz0xQSZTV
147,"no tears left to cry","Ariana Grande",740505,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
148,Thotiana,Blueface,739365,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G
149,"Dancin (feat. Luvli) - Krono Remix","Aaron Smith",733421,https://open.spotify.com/track/6WkJ2OK163XXS2oARUC9JM
150,"Wake Up in the Sky","Gucci Mane",729966,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud
151,"CHopstix (feat. Travis Scott)","ScHoolboy Q",725982,https://open.spotify.com/track/2EGtBS7Ws3ajiSkJLviFJ4
152,"Love Someone","Lukas Graham",722854,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
153,"Hurts 2B Human (feat. Khalid)",P!nk,721526,https://open.spotify.com/track/2BM7nF0pMIpLQOT04o691Z
154,"Say My Name","David Guetta",721439,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
155,IDGAF,"Dua Lipa",720200,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
156,"That's A Rack","Lil Uzi Vert",717470,https://open.spotify.com/track/4pCEIQ6wBVuaJdER5bALtO
